"ASV","s.Post-ICI1","s.Post-ICI2","s.Post-ICI3","s.Pre-ICI","index","stat","p.value","Domain","Phylum","Class","Order","Family","Genus","Species"
"c0d5395792eadbf5f62e8ffb14fa0262",1,1,0,0,5,0.538815906080325,0.04,"d__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rickettsiales","f__Mitochondria","g__Mitochondria","s__Triticum_aestivum"
"0562e97bf8665edd5ae85899297a44a8",1,1,0,0,5,0.595683397181271,0.03,"d__Bacteria","p__Deinococcota","c__Deinococci","o__Thermales","f__Thermaceae","g__Thermus","s__Thermus_scotoductus"
"f4801b7a68515d9005fa572ee6afdf41",1,0,0,0,1,0.503186241673135,0.04,"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Burkholderiaceae","g__Ralstonia",NA
"7b28c20e72c6c95b3e604f0849245770",1,1,1,0,11,0.697982440452113,0.015,"d__Bacteria","p__Verrucomicrobiota","c__Verrucomicrobiae","o__Verrucomicrobiales","f__Akkermansiaceae","g__Akkermansia","s__Akkermansia_muciniphila"
"9a13cbb8e1b12468bf22d6a05aafb0c0",0,1,1,0,8,0.651744984328962,0.01,"d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Rikenellaceae","g__Alistipes","s__uncultured_bacterium"
"d8e7f9181e4d5a4a6453e9ca9996a43f",0,0,1,0,3,0.494580981112386,0.03,"d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Tannerellaceae","g__Parabacteroides","s__Parabacteroides_merdae"
"35cbb315e019e0a8768d4b73862df415",0,0,1,0,3,0.5,0.035,"d__Bacteria","p__Actinobacteriota","c__Coriobacteriia","o__Coriobacteriales","f__Coriobacteriaceae","g__Collinsella",NA
"06538b77450f85903962437f449fa60a",0,1,0,0,2,0.581605444204783,0.04,"d__Bacteria","p__Actinobacteriota","c__Coriobacteriia","o__Coriobacteriales","f__Eggerthellaceae","g__Enterorhabdus",NA
"a7da93a9744a7863292bcf97d47b6a10",1,0,0,0,1,0.485320528879058,0.04,"d__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Micrococcales","f__Intrasporangiaceae",NA,NA
"a9b24370bdb02a8ee91855de7b8b2813",1,1,1,0,11,0.727678471394843,0.01,"d__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Bifidobacteriales","f__Bifidobacteriaceae","g__Bifidobacterium",NA
"31c862c1b2e0ffdd72b11a0b50c208f6",0,1,0,0,2,0.597967657696836,0.02,"d__Bacteria","p__Firmicutes","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Bacillus",NA
"922d33a2963d3e87a3d4df6b82371235",1,1,1,0,11,0.786203377554641,0.035,"d__Bacteria","p__Firmicutes","c__Bacilli","o__Staphylococcales","f__Staphylococcaceae","g__Staphylococcus",NA
"df0e3d38eec730326754d8c17a8b8efe",1,1,1,0,11,0.781241147313749,0.04,"d__Bacteria","p__Firmicutes","c__Bacilli","o__Erysipelotrichales","f__Erysipelotrichaceae","g__Turicibacter","s__uncultured_bacterium"
"d60f301b7a949b89d4ab416fd6023373",0,1,0,0,2,0.537673041698537,0.02,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridia_UCG-014","f__Clostridia_UCG-014","g__Clostridia_UCG-014","s__unidentified"
"0f603a9018080b298f6f858569d3b3e2",0,0,1,0,3,0.5,0.02,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__UCG-005","s__uncultured_organism"
"8da18b476b64f6f053647455b6890f80",0,1,1,0,8,0.552617111097242,0.045,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__Oscillibacter",NA
"223141ee97781bbede60bb494d599448",0,0,1,0,3,0.547461538506753,0.02,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__[Eubacterium]_xylanophilum_group","s__uncultured_bacterium"
"05dbbf0301a9625e1f1a41470a92f7fe",1,0,0,0,1,0.692133638219155,0.01,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Anaerostipes","s__Anaerostipes_caccae"
"8c65d91e013525d1c8606fab40e0a88b",0,1,1,0,8,0.653713306883093,0.01,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Roseburia","s__uncultured_bacterium"
"3562d3a0374b9f2ed190c1a7aa7dedb7",0,1,1,0,8,0.526553425143126,0.035,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Lachnospiraceae_UCG-006",NA
"8212472385df0dc1b6527a764d613b7d",0,0,1,0,3,0.564775616757125,0.005,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Acetatifactor","s__uncultured_bacterium"
"5f1f6453ad88dc836876671d27f97f58",0,1,1,0,8,0.692869962698228,0.01,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__uncultured","s__uncultured_bacterium"
"ef3a40c4f26b5019887d73ceaaab84f2",0,0,1,0,3,0.762299401987784,0.005,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Lachnospiraceae_NK4A136_group",NA
"19715b1593c19aa6d35a4d1e3cd09374",0,0,1,0,3,0.5,0.02,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Lachnospiraceae_UCG-004",NA
"d49783e7800974b5f2bcce554e26072e",1,1,1,0,11,0.830030662065651,0.005,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Blautia",NA
