"ASV","s.Day 0","s.Post-ICI1","s.Post-ICI2","s.Post-ICI3","s.Pre-ICI","index","stat","p.value","Domain","Phylum","Class","Order","Family","Genus","Species"
"f015b2344c702ae99ce0ecc0de0898f9",0,1,0,0,0,2,0.305346631301137,0.02,"d__Bacteria","p__Deinococcota","c__Deinococci","o__Deinococcales","f__Deinococcaceae","g__Deinococcus","s__Deinococcus_murrayi"
"c2d5b1fe7e78d3d6f19b77c071c5c0f8",1,1,0,0,0,6,0.318752221937197,0.04,"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Xanthomonadales","f__Xanthomonadaceae","g__Xanthomonas",NA
"c22b16cc6108c04f29fea3b6d4c81571",1,1,0,0,0,6,0.533740703882835,0.005,"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Moraxellaceae","g__Acinetobacter","s__Acinetobacter_lwoffii"
"e5c19d7800b18015f3a917fc015fc42f",1,1,0,0,1,18,0.70015834101301,0.005,"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Moraxellaceae","g__Enhydrobacter",NA
"0920dcf0f62fb2b3ab9e32f1c4edec37",1,1,1,0,0,16,0.43589825592881,0.02,"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Comamonadaceae",NA,NA
"dd3a124e0f04306cf546df311a52b727",0,1,1,1,0,22,0.580768338788621,0.005,"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Burkholderiaceae","g__Cupriavidus",NA
"82dece6e35540738ba450a0c3a90b5a0",0,0,0,1,0,4,0.573559601554405,0.005,"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacterales","f__Yersiniaceae","g__Serratia",NA
"eea63385e0cd6a410d2f9577fc2d57c5",1,0,0,0,0,1,0.249383869480871,0.03,"d__Bacteria","p__Bdellovibrionota","c__Bdellovibrionia","o__Bdellovibrionales","f__Bdellovibrionaceae","g__Bdellovibrio","s__Bdellovibrio_sp."
"a537d8bab85c83b0e74c73c55790324b",1,1,1,0,0,16,0.395058233792064,0.035,"d__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Caulobacterales","f__Caulobacteraceae","g__Brevundimonas",NA
"416f34d5dbeb6be750440745d452ac1f",1,0,0,0,0,1,0.24393196793003,0.035,"d__Bacteria","p__Planctomycetota","c__Planctomycetes","o__Isosphaerales","f__Isosphaeraceae",NA,NA
